(128, 54) 0.444877862146
(121, 61) 0.443756932385
(128, 8) 0.40332742328
(52, 29) 0.400732436127
(53, 32) 0.392321701729
(14, 7) 0.369396825597
(131, 14) 0.350926514941
(53, 26) 0.343577756943
(54, 14) 0.336959809653
(80, 29) 0.332003547864
(44, 35) 0.329975331955
(14, 8) 0.325424599158
(64, 35) 0.319354541847
(29, 5) 0.31121895507
(96, 53) 0.30683295302
(68, 53) 0.30671658892
(80, 5) 0.297030674647
(95, 44) 0.293359266266
(52, 1) 0.292621181088
(35, 1) 0.292383114376
(44, 32) 0.286307291998
(101, 53) 0.285882627526
(126, 44) 0.276921606653
(85, 54) 0.276419454767
(56, 53) 0.275107328633
(97, 61) 0.273529379266
(35, 14) 0.269570252496
(68, 29) 0.265246054944
(70, 61) 0.26453249548
(95, 64) 0.26433775043
(32, 5) 0.2606754895
(44, 26) 0.259478821725
(116, 85) 0.257837280175
(126, 64) 0.249871472609
(125, 85) 0.24970799307
(96, 44) 0.249594776522
(95, 1) 0.247957168099
(111, 64) 0.24737024833
(128, 71) 0.242076314098
(68, 5) 0.240683227703
(120, 47) 0.240426920897
(5, 1) 0.240298809059
(62, 61) 0.238982478062
(64, 26) 0.235095847659
(64, 44) 0.234384305988
(126, 1) 0.230661428511
(26, 5) 0.229916216756
(61, 36) 0.228645423811
(127, 61) 0.225698563554
(64, 5) 0.225441101447
(93, 14) 0.224113437201
(128, 101) 0.223582030841
(65, 53) 0.222421489805
(81, 61) 0.222242138695
(54, 13) 0.219574469077
(101, 44) 0.218018832284
(63, 53) 0.21795508501
(44, 5) 0.217269540701
(116, 14) 0.215721434025
(52, 35) 0.215280101333
(109, 61) 0.214628116604
(88, 61) 0.213546249711
(101, 5) 0.211698631135
(115, 61) 0.210862834848
(56, 44) 0.210746204314
(89, 61) 0.209453779957
(64, 56) 0.209151966061
(68, 1) 0.20895740522
(125, 14) 0.207787406217
(35, 32) 0.207247800725
(110, 61) 0.207090728237
(96, 1) 0.206595981745
(71, 44) 0.205851913177
(56, 5) 0.204420653511
(78, 61) 0.20381048873
(53, 14) 0.201513717636
(61, 19) 0.201124857319
(13, 8) 0.200555023736
(91, 61) 0.200063046627
(26, 1) 0.199557449595
(83, 61) 0.199090542232
(47, 32) 0.19619157576
(94, 61) 0.195928985706
(61, 58) 0.194346908714
(90, 61) 0.194110977231
(101, 64) 0.193853256871
(111, 47) 0.193513759073
(61, 23) 0.1932391972
(61, 16) 0.191476656263
(53, 31) 0.189249470316
(53, 41) 0.189086262104
(114, 61) 0.188570138052
(120, 35) 0.187754755875
(61, 40) 0.187274924163
(131, 53) 0.184694914061
(130, 61) 0.184640697349
(101, 1) 0.184086563463
(104, 53) 0.183613535762
(61, 17) 0.183206448181
(102, 61) 0.183087087468
(61, 37) 0.182628335244
(84, 61) 0.182355398763
(75, 61) 0.181953616515
(93, 53) 0.18194372204
(128, 26) 0.181832964228
(108, 61) 0.18162480345
(86, 61) 0.181511890191
(61, 9) 0.181374218386
(71, 64) 0.18115266326
(105, 61) 0.180007123812
(72, 61) 0.179266041349
(54, 53) 0.178245345511
(56, 1) 0.17783606365
(125, 53) 0.177590861079
(61, 30) 0.176821837657
(87, 61) 0.176172872365
(47, 26) 0.175870273535
(61, 57) 0.175107658663
(61, 46) 0.173249078967
(73, 61) 0.172589233834
(71, 1) 0.171585073363
(129, 61) 0.170533720299
(112, 61) 0.168435759224
(96, 47) 0.16792787486
(82, 61) 0.167655143692
(65, 64) 0.166795836761
(68, 47) 0.166033357295
(55, 53) 0.164471852097
(61, 48) 0.164035447387
(61, 43) 0.163772597551
(131, 104) 0.163484510781
(61, 45) 0.163442028216
(111, 52) 0.161697256039
(61, 24) 0.161572562867
(104, 54) 0.158395083722
(104, 103) 0.157541507591
(53, 25) 0.156278475924
(120, 111) 0.155249026925
(106, 53) 0.154710836989
(125, 13) 0.154239250605
(61, 11) 0.152832811772
(53, 8) 0.152790860302
(116, 13) 0.151217589762
(76, 61) 0.150534119309
(63, 29) 0.149828547143
(131, 114) 0.148738786613
(103, 35) 0.148668267261
(65, 14) 0.148464992439
(131, 86) 0.146609345902
(101, 47) 0.146441439978
(131, 8) 0.146296220976
(95, 35) 0.145956870477
(104, 102) 0.145896155047
(104, 8) 0.145378039612
(92, 29) 0.145298771099
(104, 23) 0.1449295673
(80, 35) 0.143618545809
(54, 8) 0.143383251101
(71, 47) 0.143055854995
(54, 23) 0.142881377706
(105, 104) 0.142771025282
(128, 29) 0.141314982973
(131, 72) 0.140222073689
(56, 47) 0.139861426156
(128, 111) 0.139372659707
(104, 72) 0.139357293408
(63, 44) 0.137583918329
(97, 35) 0.133662238632
(126, 35) 0.133396687887
(63, 5) 0.132473474864
(65, 47) 0.129146776348
(56, 14) 0.128893663682
(131, 12) 0.127588261856
(111, 95) 0.12751933896
(38, 29) 0.127506515054
(92, 44) 0.127221236957
(44, 0) 0.1271345074
(120, 52) 0.127113413721
(104, 87) 0.12671379201
(121, 53) 0.12647445433
(111, 80) 0.125870630637
(29, 2) 0.125191731657
(5, 0) 0.125025730206
(54, 12) 0.124675291981
(114, 8) 0.122589208852
(64, 0) 0.122192981139
(50, 29) 0.121192793029
(68, 35) 0.121002937137
(86, 8) 0.12086951442
(105, 8) 0.120678498234
(87, 54) 0.120432796581
(130, 104) 0.120148056622
(102, 8) 0.119969180181
(104, 73) 0.119867874225
(23, 8) 0.119574167176
(96, 35) 0.119548911713
(1, 0) 0.118698383456
(86, 13) 0.118574562645
(101, 14) 0.118303464967
(64, 38) 0.118173308035
(105, 13) 0.117691869614
(111, 32) 0.117367873813
(130, 54) 0.117063993755
(111, 71) 0.116780923175
(103, 85) 0.116686707305
(23, 13) 0.116587538556
(72, 13) 0.116137993653
(85, 71) 0.11602480441
(111, 101) 0.114683639962
(85, 56) 0.114076125932
(72, 8) 0.113675597542
(101, 85) 0.112817775192
(13, 12) 0.112485766608
(50, 35) 0.11160130512
(131, 10) 0.111202612941
(92, 64) 0.111042608972
(61, 7) 0.110944881561
(38, 5) 0.110876844489
(29, 14) 0.109941952394
(73, 54) 0.109795958179
(131, 41) 0.109777065107
(82, 14) 0.10896410659
(104, 41) 0.108858883742
(131, 9) 0.108703668787
(54, 10) 0.108652677024
(104, 9) 0.108646830768
(126, 111) 0.108268559745
(54, 41) 0.107351460818
(54, 9) 0.107137052984
(92, 1) 0.107074353902
(69, 53) 0.105623574478
(128, 44) 0.104880763332
(87, 8) 0.104596034955
(50, 44) 0.104573878449
(48, 14) 0.10428133514
(116, 29) 0.104172406284
(35, 2) 0.104122277332
(65, 13) 0.103870631525
(77, 35) 0.103440595195
(131, 112) 0.103203396186
(111, 96) 0.103184536055
(38, 1) 0.103002363669
(67, 35) 0.102812527464
(77, 53) 0.102733915526
(111, 68) 0.102445980793
(64, 50) 0.101966931732
(131, 45) 0.101911964148
(112, 104) 0.101878090272
(63, 35) 0.101655060255
(29, 25) 0.101442620685
(66, 35) 0.101425463514
(116, 41) 0.101421474315
(47, 0) 0.101290959006
(12, 8) 0.101178050698
(130, 8) 0.101115006983
(69, 35) 0.10104997979
(104, 45) 0.101047183867
(128, 103) 0.100942455722
(87, 13) 0.10073556824
(26, 14) 0.100079693599
(122, 35) 0.100025287254
(73, 13) 0.0999764262093
(93, 41) 0.0999669005802
(111, 65) 0.0998802158705
(50, 5) 0.0998647741759
(59, 35) 0.0997840088647
(128, 5) 0.0997698085358
(49, 35) 0.0997403925331
(59, 53) 0.0997254784729
(125, 41) 0.0994892605141
(66, 53) 0.0994219731341
(60, 29) 0.0992033680252
(131, 93) 0.0991633799702
(63, 47) 0.0990804279038
(54, 45) 0.0989989942734
(112, 54) 0.0986520387971
(124, 53) 0.0985130515689
(131, 125) 0.0983243179976
(104, 93) 0.098245198606
(39, 35) 0.0981475806346
(111, 14) 0.0976729035743
(53, 22) 0.0970078014446
(35, 12) 0.0969985887013
(131, 123) 0.0968443444204
(53, 33) 0.0963847289736
(125, 29) 0.0960881385896
(124, 35) 0.0956757419408
(93, 29) 0.0956175467091
(55, 29) 0.0953682206936
(130, 13) 0.0953440965872
(44, 2) 0.0951769554181
(35, 22) 0.0950913561138
(95, 52) 0.0950742828011
(123, 35) 0.0948634375512
(51, 35) 0.0946710221593
(125, 104) 0.0946438555573
(118, 53) 0.0946090787234
(35, 0) 0.0945410324672
(14, 5) 0.0944812137497
(73, 8) 0.094370651089
(123, 54) 0.094363644089
(13, 9) 0.0943635248133
(31, 29) 0.0943036744364
(85, 72) 0.0939431935817
(42, 35) 0.0939023599891
(122, 53) 0.0937816977494
(35, 15) 0.0937361300929
(85, 23) 0.0937081289172
(80, 52) 0.0935953907401
(128, 64) 0.0934456365989
(118, 35) 0.0933060875116
(35, 27) 0.0931945833297
(60, 35) 0.0929867253148
(92, 47) 0.0929242897059
(13, 10) 0.0928448519384
(131, 116) 0.0927429521507
(35, 28) 0.0926677512379
(53, 49) 0.0923442800299
(93, 54) 0.0918207378768
(45, 13) 0.0915588964831
(128, 120) 0.0915115765742
(100, 35) 0.091173139521
(85, 26) 0.0911690310891
(64, 55) 0.0910224490985
(114, 85) 0.0907693485253
(128, 47) 0.0907378845949
